DISTRICT NAME,UNIT NAME, YEAR,VEHICLE_INVOLVED,ACCIDENT CLASIFICATION,ACCIDENT SPOT,ACCIDENT LOCATION,MAIN CAUSE,HIT-RUN,SEVERITY,COLLISION TYPE,JUNCTION CONTROL,ROAD CHARACTER,ROAD-TYPE,SURFACE-TYPE,SURFACE CONDITION,ROAD CONDITION,WEATHER,LANE-TYPE,ROAD MARKING,SPOT CONDITIONS,SIDE WALK,ACCIDENT-ROAD,Latitude ,Longitude
Imphal East Manipur,Imphal,2000,2,Road accident,Near school,Bridge,Human Error,Yes,Low,Rollover,No control,Urban road,Secondary road,Asphalt,Muddy,Potholes present,Foggy,Triple lane,Not visible,Clear view,Present,Ring Road,24.8108,93.9386
Gangtok District Sikim District Sikim,Gangtok District Sikim,2022,2,Road accident,Market area,Intersection,Human Error,Yes,Critical,Head-on,No control,Rural road,Highway,Gravel,Dry,Good,Rainy,Multiple lanes,Partially visible,Clear view,Absent,Ring Road,27.3314,88.6138
east Khasi Hills Meghalaya,Shillong,2011,3,Road accident,Residential street,Straight road,Human Error,No,Low,Rear-end,Traffic lights,Flat,Secondary road,Asphalt,Wet,Under construction,Foggy,Triple lane,Clearly visible,Well-lit,Well-maintained,State Highway 1,91.8933,91.8933
Gangtok District Sikim District Sikim,Gangtok District Sikim,2003,2,Road accident,Near school,Straight road,Human Error,Yes,Moderate,Rear-end,Yield sign,Hilly,Secondary road,Concrete,Wet,Poor,Clear,Divided,Faded,Congested,Present,National Highway 27,27.3314,88.6138
Gangtok District Sikim District Sikim,Gangtok District Sikim,2021,4,Road accident,Commercial hub,Intersection,Human Error,No,Low,Rear-end,Traffic lights,Urban road,Main road,Cobblestone,Dry,Potholes present,Windy,Divided,Faded,Poorly lit,Under construction,Ring Road,27.3314,88.6138
Kohima District NagalandDistrict Nagaland,Kohima,2021,1,Road accident,Near school,Tunnel,Human Error,No,Critical,Head-on,Yield sign,Straight,Highway,Concrete,Muddy,Fair,Rainy,Multiple lanes,Newly painted,Clear view,Damaged,National Highway 27,25.6751,94.1086
Kamrup Metropolitan Distric Assam,Guwahati,2013,1,Road accident,Highway intersection,Curve,Human Error,No,High,Head-on,Traffic lights,Rural road,Local road,Cobblestone,Muddy,Under construction,Foggy,Single lane,Faded,Well-lit,Under construction,State Highway 1,26.1158,91.7086
Gangtok District Sikim District Sikim,Gangtok District Sikim,2016,4,Road accident,Residential street,Straight road,Human Error,Yes,Low,Side-impact,Stop sign,Hilly,Highway,Cobblestone,Wet,Fair,Foggy,Double lane,Partially visible,Obstructed view,Damaged,Ring Road,27.3314,88.6138
east Khasi Hills Meghalaya,Shillong,2008,1,Road accident,Residential street,Intersection,Human Error,Yes,Moderate,Head-on,Yield sign,Urban road,Secondary road,Gravel,Slippery,Poor,Foggy,Single lane,Faded,Clear view,Under construction,Ring Road,91.8933,91.8933
Imphal East Manipur,Imphal,2022,1,Road accident,Near school,Tunnel,Human Error,Yes,Critical,Head-on,Yield sign,Straight,Service road,Concrete,Dry,Good,Clear,Double lane,Faded,Obstructed view,Present,Ring Road,24.8108,93.9386
Gangtok District Sikim District Sikim,Gangtok District Sikim,2020,3,Road accident,Residential street,Bridge,Human Error,No,Moderate,Rear-end,Traffic lights,Hilly,Local road,Cobblestone,Muddy,Under construction,Foggy,Divided,Faded,Well-lit,Present,Park Street,27.3314,88.6138
Kohima District NagalandDistrict Nagaland,Kohima,2009,3,Road accident,Market area,Curve,Human Error,Yes,Critical,Rear-end,Stop sign,Flat,Service road,Asphalt,Wet,Good,Clear,Triple lane,Partially visible,Clear view,Well-maintained,National Highway 27,25.6751,94.1086
Kamrup Metropolitan Distric Assam,Guwahati,2001,3,Road accident,Near school,Straight road,Human Error,Yes,High,Side-impact,Stop sign,Straight,Main road,Cobblestone,Dry,Poor,Rainy,Triple lane,Not visible,Well-lit,Well-maintained,Park Street,26.1158,91.7086
east Khasi Hills Meghalaya,Shillong,2003,1,Road accident,Market area,Intersection,Human Error,No,Low,Side-impact,Yield sign,Urban road,Local road,Asphalt,Dry,Under construction,Rainy,Double lane,Newly painted,Clear view,Present,MG Road,91.8933,91.8933
Imphal West Manipur,Imphal,2004,4,Road accident,Highway intersection,Curve,Human Error,Yes,Critical,Head-on,Traffic lights,Flat,Secondary road,Dirt,Muddy,Fair,Clear,Double lane,Newly painted,Obstructed view,Under construction,State Highway 1,24.8108,93.9386
Kamrup Metropolitan Distric Assam,Guwahati,2021,3,Road accident,Near school,Straight road,Human Error,Yes,High,Rollover,Stop sign,Flat,Service road,Asphalt,Dry,Potholes present,Windy,Divided,Not visible,Clear view,Present,National Highway 27,26.1158,91.7086
Gangtok District Sikim District Sikim,Gangtok District Sikim,2019,2,Road accident,Commercial hub,Curve,Human Error,No,Critical,Side-impact,Stop sign,Curve,Local road,Asphalt,Muddy,Good,Windy,Single lane,Partially visible,Well-lit,Under construction,Ring Road,27.3314,88.6138
Itanagar District Arunachal Pradesh,Itanagar,2010,4,Road accident,Market area,Tunnel,Human Error,No,Moderate,Rollover,No control,Rural road,Highway,Concrete,Wet,Under construction,Snowy,Divided,Partially visible,Obstructed view,Absent,Park Street,27.0844,93.6053
East Khasi Hills Meghalaya,Shillong,2016,4,Road accident,Market area,Straight road,Human Error,Yes,Moderate,Side-impact,No control,Straight,Service road,Concrete,Slippery,Good,Rainy,Double lane,Partially visible,Poorly lit,Absent,State Highway 1,91.8933,91.8933
East Khasi Hills Meghalaya,Shillong,2011,1,Road accident,Highway intersection,Curve,Human Error,No,Critical,Head-on,No control,Rural road,Main road,Asphalt,Muddy,Good,Rainy,Multiple lanes,Clearly visible,Poorly lit,Present,Ring Road,91.8933,91.8933
Aizawl Mizoram,Aizawl,2005,2,Road accident,Residential street,Bridge,Human Error,Yes,Critical,Side-impact,Traffic lights,Curve,Service road,Concrete,Dry,Good,Foggy,Double lane,Not visible,Congested,Damaged,State Highway 1,23.7307,92.7173
Aizawl Mizoram,Aizawl,2009,1,Road accident,Near school,Curve,Human Error,Yes,Low,Rear-end,Yield sign,Rural road,Main road,Gravel,Muddy,Poor,Windy,Triple lane,Newly painted,Clear view,Absent,State Highway 1,23.7307,92.7173
Aizawl Mizoram,Aizawl,2009,4,Road accident,Market area,Curve,Human Error,Yes,Critical,Rollover,Yield sign,Curve,Service road,Concrete,Dry,Good,Rainy,Multiple lanes,Faded,Well-lit,Under construction,Park Street,23.7307,92.7173
Imphal East Manipur,Imphal,2019,3,Road accident,Commercial hub,Tunnel,Human Error,No,Low,Head-on,No control,Rural road,Service road,Asphalt,Wet,Fair,Clear,Divided,Newly painted,Clear view,Under construction,Ring Road,24.8108,93.9386
Gangtok District Sikim District Sikim,Gangtok District Sikim,2022,3,Road accident,Residential street,Bridge,Human Error,No,Moderate,Rear-end,Traffic lights,Rural road,Highway,Asphalt,Slippery,Under construction,Rainy,Double lane,Not visible,Congested,Under construction,State Highway 1,27.3314,88.6138
Kohima District NagalandDistrict Nagaland,Kohima,2001,3,Road accident,Residential street,Straight road,Human Error,Yes,Critical,Rear-end,Yield sign,Rural road,Secondary road,Cobblestone,Muddy,Potholes present,Rainy,Double lane,Faded,Poorly lit,Well-maintained,State Highway 1,25.6751,94.1086
Kamrup Metropolitan Distric Assam,Guwahati,2011,3,Road accident,Near school,Tunnel,Human Error,Yes,High,Head-on,No control,Flat,Secondary road,Dirt,Wet,Under construction,Windy,Multiple lanes,Partially visible,Poorly lit,Damaged,Ring Road,26.1158,91.7086
Gangtok District Sikim District Sikim,Gangtok District Sikim,2020,1,Road accident,Market area,Curve,Human Error,Yes,Critical,Side-impact,Stop sign,Hilly,Main road,Concrete,Slippery,Fair,Rainy,Multiple lanes,Clearly visible,Obstructed view,Under construction,State Highway 1,27.3314,88.6138
Kohima District NagalandDistrict Nagaland,Guwahati,2022,2,Road accident,Commercial hub,Tunnel,Human Error,No,Moderate,Head-on,Stop sign,Hilly,Main road,Cobblestone,Slippery,Under construction,Windy,Multiple lanes,Newly painted,Congested,Well-maintained,Ring Road,26.1158,91.7086
east Khasi Hills Meghalaya,Shillong,2002,2,Road accident,Highway intersection,Tunnel,Human Error,No,Low,Head-on,Stop sign,Straight,Service road,Dirt,Muddy,Fair,Rainy,Multiple lanes,Clearly visible,Obstructed view,Damaged,National Highway 27,91.8933,91.8933
east Khasi Hills Meghalaya,Shillong,2003,4,Road accident,Commercial hub,Curve,Human Error,No,Critical,Side-impact,No control,Flat,Secondary road,Cobblestone,Wet,Fair,Foggy,Double lane,Clearly visible,Congested,Well-maintained,Ring Road,91.8933,91.8933
Kamrup Metropolitan Distric Assam,Guwahati,2008,2,Road accident,Near school,Tunnel,Human Error,No,Low,Head-on,Traffic lights,Straight,Secondary road,Gravel,Wet,Potholes present,Rainy,Single lane,Not visible,Obstructed view,Under construction,Park Street,26.1158,91.7086
Imphal East Manipur,Imphal,2016,1,Road accident,Market area,Tunnel,Human Error,No,Moderate,Side-impact,Yield sign,Urban road,Secondary road,Dirt,Wet,Under construction,Foggy,Single lane,Clearly visible,Well-lit,Well-maintained,MG Road,24.8108,93.9386
Kohima District NagalandDistrict Nagaland,Kohima,2003,2,Road accident,Commercial hub,Bridge,Human Error,No,High,Side-impact,Yield sign,Flat,Main road,Gravel,Wet,Fair,Clear,Divided,Faded,Well-lit,Damaged,Ring Road,25.6751,94.1086
Gangtok District Sikim District Sikim,Gangtok District Sikim,2004,2,Road accident,Near school,Curve,Human Error,No,Moderate,Rear-end,Traffic lights,Urban road,Main road,Cobblestone,Dry,Fair,Rainy,Double lane,Faded,Poorly lit,Under construction,National Highway 27,27.3314,88.6138
Aizawl Mizoram,Aizawl,2001,4,Road accident,Market area,Tunnel,Human Error,Yes,Critical,Rear-end,Traffic lights,Rural road,Service road,Dirt,Dry,Good,Windy,Triple lane,Clearly visible,Poorly lit,Damaged,MG Road,23.7307,92.7173
Kamrup Metropolitan Distric Assam,Guwahati,2002,1,Road accident,Highway intersection,Curve,Human Error,Yes,Critical,Rollover,No control,Straight,Main road,Gravel,Slippery,Under construction,Rainy,Multiple lanes,Faded,Clear view,Well-maintained,Ring Road,26.1158,91.7086
Aizawl Mizoram,Aizawl,2013,2,Road accident,Commercial hub,Intersection,Human Error,No,Critical,Side-impact,Stop sign,Hilly,Service road,Asphalt,Wet,Good,Clear,Multiple lanes,Faded,Obstructed view,Well-maintained,Park Street,23.7307,92.7173
east Khasi Hills Meghalaya,Shillong,2010,1,Road accident,Highway intersection,Curve,Human Error,No,High,Rollover,Yield sign,Rural road,Secondary road,Dirt,Wet,Fair,Foggy,Divided,Faded,Congested,Well-maintained,Ring Road,91.8933,91.8933
Itanagar District Arunachal Pradesh,Itanagar,2007,4,Road accident,Highway intersection,Bridge,Human Error,Yes,Critical,Rollover,Stop sign,Hilly,Service road,Asphalt,Wet,Poor,Rainy,Double lane,Newly painted,Poorly lit,Under construction,MG Road,27.0844,93.6053
Aizawl Mizoram,Aizawl,2011,2,Road accident,Highway intersection,Bridge,Human Error,No,Moderate,Rollover,Stop sign,Straight,Main road,Concrete,Wet,Poor,Windy,Single lane,Faded,Well-lit,Present,State Highway 1,23.7307,92.7173
Kamrup Metropolitan Distric Assam,Guwahati,2002,2,Road accident,Commercial hub,Straight road,Human Error,Yes,Critical,Rear-end,Stop sign,Rural road,Service road,Dirt,Muddy,Fair,Windy,Divided,Faded,Poorly lit,Well-maintained,MG Road,26.1158,91.7086
Kamrup Metropolitan Distric Assam,Guwahati,2010,1,Road accident,Residential street,Curve,Human Error,Yes,Critical,Side-impact,Yield sign,Curve,Highway,Cobblestone,Slippery,Good,Rainy,Divided,Not visible,Well-lit,Well-maintained,Park Street,26.1158,91.7086
Imphal West Manipur,Imphal,2009,4,Road accident,Residential street,Curve,Human Error,Yes,High,Rollover,Traffic lights,Urban road,Highway,Gravel,Wet,Good,Clear,Divided,Clearly visible,Clear view,Present,MG Road,24.8108,93.9386
Aizawl Mizoram,Aizawl,2000,4,Road accident,Market area,Intersection,Human Error,No,Low,Side-impact,Yield sign,Hilly,Main road,Cobblestone,Muddy,Poor,Clear,Double lane,Clearly visible,Well-lit,Present,MG Road,23.7307,92.7173
east Khasi Hills Meghalaya,Shillong,2000,3,Road accident,Near school,Curve,Human Error,No,Low,Rear-end,Stop sign,Rural road,Highway,Gravel,Wet,Under construction,Clear,Divided,Not visible,Congested,Present,MG Road,91.8933,91.8933
Gangtok District Sikim District Sikim,Gangtok District Sikim,2003,1,Road accident,Market area,Bridge,Human Error,No,Moderate,Side-impact,No control,Urban road,Service road,Gravel,Slippery,Under construction,Rainy,Divided,Not visible,Clear view,Present,Park Street,27.3314,88.6138
Gangtok District Sikim District Sikim,Gangtok District Sikim,2018,2,Road accident,Market area,Intersection,Human Error,No,Moderate,Side-impact,Yield sign,Flat,Service road,Concrete,Wet,Good,Rainy,Single lane,Not visible,Obstructed view,Damaged,Ring Road,27.3314,88.6138
Gangtok District Sikim District Sikim,Gangtok District Sikim,2004,3,Road accident,Highway intersection,Tunnel,Human Error,Yes,High,Head-on,No control,Flat,Local road,Dirt,Wet,Fair,Rainy,Multiple lanes,Newly painted,Well-lit,Present,Ring Road,27.3314,88.6138
Gangtok District Sikim District Sikim,Gangtok District Sikim,2002,1,Road accident,Residential street,Tunnel,Human Error,No,Moderate,Side-impact,Stop sign,Straight,Main road,Concrete,Muddy,Poor,Clear,Single lane,Partially visible,Well-lit,Damaged,Park Street,27.3314,88.6138
Kamrup Metropolitan Distric Assam,Guwahati,2006,1,Road accident,Near school,Bridge,Human Error,Yes,Moderate,Side-impact,Yield sign,Hilly,Local road,Dirt,Dry,Under construction,Windy,Triple lane,Newly painted,Poorly lit,Absent,State Highway 1,26.1158,91.7086
east Khasi Hills Meghalaya,Shillong,2019,3,Road accident,Near school,Curve,Human Error,No,Critical,Head-on,No control,Straight,Highway,Cobblestone,Slippery,Under construction,Windy,Single lane,Faded,Poorly lit,Present,Park Street,91.8933,91.8933
Itanagar District Arunachal Pradesh,Itanagar,2019,2,Road accident,Near school,Curve,Human Error,Yes,Low,Side-impact,No control,Flat,Main road,Cobblestone,Wet,Poor,Rainy,Divided,Faded,Congested,Damaged,State Highway 1,27.0844,93.6053
Aizawl Mizoram,Aizawl,2016,4,Road accident,Commercial hub,Bridge,Human Error,Yes,Low,Rear-end,Traffic lights,Curve,Highway,Concrete,Wet,Fair,Rainy,Single lane,Clearly visible,Poorly lit,Well-maintained,Park Street,23.7307,92.7173
Imphal East Manipur,Imphal,2014,4,Road accident,Commercial hub,Bridge,Human Error,Yes,Moderate,Side-impact,Yield sign,Curve,Secondary road,Asphalt,Muddy,Good,Rainy,Multiple lanes,Faded,Obstructed view,Present,Park Street,24.8108,93.9386
Imphal West Manipur,Imphal,2012,3,Road accident,Commercial hub,Intersection,Human Error,No,High,Rear-end,Yield sign,Urban road,Service road,Asphalt,Slippery,Under construction,Foggy,Multiple lanes,Faded,Clear view,Well-maintained,Ring Road,24.8108,93.9386
Gangtok District Sikim District Sikim,Gangtok District Sikim,2015,2,Road accident,Commercial hub,Straight road,Human Error,Yes,Moderate,Side-impact,Yield sign,Straight,Highway,Concrete,Slippery,Poor,Clear,Multiple lanes,Faded,Poorly lit,Absent,Park Street,27.3314,88.6138
Kohima District NagalandDistrict Nagaland,Kohima,2007,4,Road accident,Highway intersection,Straight road,Human Error,No,Low,Rollover,Yield sign,Urban road,Secondary road,Cobblestone,Dry,Good,Foggy,Divided,Faded,Obstructed view,Under construction,National Highway 27,25.6751,94.1086
Kohima District NagalandDistrict Nagaland,Kohima,2000,1,Road accident,Market area,Straight road,Human Error,No,Critical,Side-impact,Stop sign,Straight,Highway,Cobblestone,Wet,Fair,Clear,Triple lane,Not visible,Clear view,Present,State Highway 1,25.6751,94.1086
Kamrup Metropolitan Distric Assam,Guwahati,2020,3,Road accident,Residential street,Bridge,Human Error,No,Low,Rear-end,Yield sign,Urban road,Highway,Concrete,Wet,Good,Clear,Triple lane,Clearly visible,Poorly lit,Damaged,State Highway 1,26.1158,91.7086
Kohima District NagalandDistrict Nagaland,Kohima,2022,3,Road accident,Market area,Bridge,Human Error,Yes,High,Side-impact,No control,Flat,Secondary road,Cobblestone,Dry,Fair,Rainy,Single lane,Faded,Poorly lit,Present,National Highway 27,25.6751,94.1086
Kohima District NagalandDistrict Nagaland,Kohima,2004,2,Road accident,Highway intersection,Curve,Human Error,Yes,Low,Rear-end,Traffic lights,Flat,Main road,Concrete,Muddy,Fair,Rainy,Single lane,Partially visible,Well-lit,Damaged,Park Street,25.6751,94.1086
Kamrup Metropolitan Distric Assam,Guwahati,2000,3,Road accident,Residential street,Straight road,Human Error,No,High,Head-on,Stop sign,Flat,Service road,Concrete,Dry,Poor,Foggy,Single lane,Newly painted,Well-lit,Well-maintained,Ring Road,26.1158,91.7086
Kohima District NagalandDistrict Nagaland,Kohima,2014,1,Road accident,Residential street,Intersection,Human Error,No,Moderate,Rollover,Traffic lights,Rural road,Highway,Gravel,Wet,Under construction,Clear,Double lane,Newly painted,Clear view,Under construction,Park Street,25.6751,94.1086
Itanagar District Arunachal Pradesh,Itanagar,2013,2,Road accident,Residential street,Intersection,Human Error,No,Critical,Rollover,Yield sign,Urban road,Service road,Dirt,Muddy,Good,Windy,Single lane,Not visible,Clear view,Damaged,Ring Road,27.0844,93.6053
Itanagar District Arunachal Pradesh,Itanagar,2005,3,Road accident,Near school,Tunnel,Human Error,No,Low,Head-on,Stop sign,Straight,Secondary road,Cobblestone,Dry,Under construction,Rainy,Divided,Not visible,Well-lit,Damaged,National Highway 27,27.0844,93.6053
East Khasi Hills Meghalaya,Shillong,2020,2,Road accident,Residential street,Intersection,Human Error,No,High,Head-on,Stop sign,Straight,Local road,Concrete,Muddy,Good,Rainy,Triple lane,Clearly visible,Congested,Damaged,MG Road,91.8933,91.8933
Gangtok District Sikim District Sikim,Gangtok District Sikim,2016,1,Road accident,Market area,Straight road,Human Error,Yes,Critical,Head-on,No control,Urban road,Secondary road,Dirt,Wet,Good,Windy,Multiple lanes,Faded,Well-lit,Absent,Park Street,27.3314,88.6138
Itanagar District Arunachal Pradesh,Itanagar,2006,4,Road accident,Near school,Curve,Human Error,No,Low,Rear-end,Traffic lights,Hilly,Secondary road,Dirt,Muddy,Fair,Rainy,Multiple lanes,Clearly visible,Well-lit,Absent,MG Road,27.0844,93.6053
Kamrup Metropolitan Distric Assam,Guwahati,2011,1,Road accident,Commercial hub,Intersection,Human Error,Yes,Moderate,Side-impact,No control,Curve,Highway,Cobblestone,Wet,Under construction,Rainy,Single lane,Partially visible,Poorly lit,Damaged,Park Street,26.1158,91.7086
Gangtok District Sikim District Sikim,Gangtok District Sikim,2009,1,Road accident,Market area,Straight road,Human Error,Yes,High,Rollover,No control,Hilly,Service road,Dirt,Wet,Under construction,Rainy,Multiple lanes,Faded,Congested,Under construction,National Highway 27,27.3314,88.6138
Itanagar District Arunachal Pradesh,Itanagar,2021,2,Road accident,Highway intersection,Intersection,Human Error,Yes,High,Rollover,Traffic lights,Urban road,Main road,Gravel,Muddy,Under construction,Clear,Multiple lanes,Not visible,Poorly lit,Damaged,MG Road,27.0844,93.6053
Aizawl Mizoram,Aizawl,2012,4,Road accident,Commercial hub,Bridge,Human Error,Yes,Low,Rear-end,No control,Straight,Local road,Dirt,Muddy,Potholes present,Rainy,Double lane,Clearly visible,Obstructed view,Under construction,MG Road,23.7307,92.7173
Kamrup Metropolitan Distric Assam,Guwahati,2020,3,Road accident,Near school,Tunnel,Human Error,Yes,Low,Side-impact,Yield sign,Curve,Highway,Gravel,Slippery,Good,Rainy,Double lane,Faded,Congested,Present,State Highway 1,26.1158,91.7086
east Khasi Hills Meghalaya,Shillong,2016,4,Road accident,Highway intersection,Curve,Human Error,Yes,Critical,Rear-end,No control,Curve,Highway,Concrete,Wet,Under construction,Clear,Triple lane,Faded,Well-lit,Damaged,Park Street,91.8933,91.8933
Imphal East Manipur,Imphal,2005,3,Road accident,Near school,Straight road,Human Error,No,Low,Rear-end,Traffic lights,Urban road,Secondary road,Asphalt,Dry,Poor,Rainy,Divided,Partially visible,Obstructed view,Damaged,Ring Road,24.8108,93.9386
east Khasi Hills Meghalaya,Shillong,2002,1,Road accident,Commercial hub,Tunnel,Human Error,No,Moderate,Side-impact,Traffic lights,Curve,Local road,Dirt,Slippery,Good,Foggy,Divided,Clearly visible,Well-lit,Well-maintained,National Highway 27,91.8933,91.8933
Gangtok District Sikim District Sikim,Gangtok District Sikim,2022,3,Road accident,Commercial hub,Tunnel,Human Error,Yes,Moderate,Rollover,No control,Flat,Highway,Concrete,Dry,Under construction,Windy,Divided,Newly painted,Clear view,Well-maintained,Park Street,27.3314,88.6138
Itanagar District Arunachal Pradesh,Itanagar,2018,1,Road accident,Residential street,Bridge,Human Error,No,Critical,Head-on,Traffic lights,Rural road,Highway,Asphalt,Wet,Fair,Foggy,Divided,Faded,Poorly lit,Present,National Highway 27,27.0844,93.6053
Gangtok District Sikim District Sikim,Gangtok District Sikim,2006,1,Road accident,Commercial hub,Intersection,Human Error,No,Critical,Rear-end,Traffic lights,Curve,Main road,Concrete,Wet,Potholes present,Foggy,Single lane,Clearly visible,Congested,Damaged,Ring Road,27.3314,88.6138
Gangtok District Sikim District Sikim,Gangtok District Sikim,2008,3,Road accident,Commercial hub,Curve,Human Error,No,Low,Rollover,Stop sign,Hilly,Local road,Concrete,Wet,Good,Rainy,Triple lane,Not visible,Well-lit,Under construction,National Highway 27,27.3314,88.6138
east Khasi Hills Meghalaya,Shillong,2001,4,Road accident,Near school,Tunnel,Human Error,No,High,Side-impact,No control,Flat,Main road,Dirt,Slippery,Poor,Rainy,Double lane,Partially visible,Congested,Under construction,State Highway 1,91.8933,91.8933
Kamrup Metropolitan Distric Assam,Guwahati,2014,2,Road accident,Market area,Curve,Human Error,No,High,Head-on,Traffic lights,Straight,Local road,Dirt,Muddy,Fair,Clear,Triple lane,Not visible,Congested,Damaged,State Highway 1,26.1158,91.7086
Itanagar District Arunachal Pradesh,Itanagar,2019,2,Road accident,Near school,Straight road,Human Error,Yes,Low,Rear-end,Stop sign,Flat,Service road,Dirt,Wet,Under construction,Windy,Triple lane,Newly painted,Poorly lit,Well-maintained,MG Road,27.0844,93.6053
Itanagar District Arunachal Pradesh,Itanagar,2017,2,Road accident,Residential street,Intersection,Human Error,No,High,Rollover,No control,Curve,Highway,Dirt,Slippery,Potholes present,Clear,Divided,Clearly visible,Clear view,Absent,Park Street,27.0844,93.6053
Gangtok District Sikim District Sikim,Gangtok District Sikim,2018,2,Road accident,Highway intersection,Curve,Human Error,Yes,Moderate,Side-impact,Traffic lights,Curve,Highway,Concrete,Slippery,Under construction,Foggy,Double lane,Clearly visible,Clear view,Under construction,State Highway 1,27.3314,88.6138
east Khasi Hills Meghalaya,Shillong,2002,3,Road accident,Residential street,Curve,Human Error,Yes,High,Side-impact,Yield sign,Rural road,Service road,Asphalt,Muddy,Fair,Foggy,Multiple lanes,Clearly visible,Poorly lit,Present,Park Street,91.8933,91.8933
Kamrup Metropolitan Distric Assam,Guwahati,2004,2,Road accident,Commercial hub,Straight road,Human Error,No,Low,Head-on,Traffic lights,Curve,Highway,Gravel,Wet,Poor,Rainy,Triple lane,Newly painted,Well-lit,Under construction,Park Street,26.1158,91.7086
Gangtok District Sikim District Sikim,Gangtok District Sikim,2001,1,Road accident,Residential street,Straight road,Human Error,Yes,Critical,Rollover,Traffic lights,Curve,Secondary road,Concrete,Dry,Poor,Foggy,Single lane,Not visible,Obstructed view,Under construction,Park Street,27.3314,88.6138
Itanagar District Arunachal Pradesh,Itanagar,2018,2,Road accident,Near school,Intersection,Human Error,No,Low,Rear-end,Traffic lights,Urban road,Local road,Concrete,Slippery,Poor,Windy,Multiple lanes,Clearly visible,Clear view,Damaged,National Highway 27,27.0844,93.6053
Aizawl Mizoram,Aizawl,2009,1,Road accident,Commercial hub,Intersection,Human Error,Yes,Critical,Head-on,Traffic lights,Rural road,Local road,Dirt,Wet,Potholes present,Clear,Divided,Partially visible,Clear view,Present,Park Street,23.7307,92.7173
Kamrup Metropolitan Distric Assam,Guwahati,2013,3,Road accident,Near school,Intersection,Human Error,Yes,Critical,Head-on,Stop sign,Urban road,Highway,Gravel,Wet,Good,Rainy,Triple lane,Partially visible,Poorly lit,Under construction,State Highway 1,26.1158,91.7086
Kamrup Metropolitan Distric Assam,Guwahati,2010,4,Road accident,Market area,Curve,Human Error,No,High,Head-on,No control,Urban road,Highway,Gravel,Slippery,Under construction,Foggy,Divided,Newly painted,Clear view,Under construction,Ring Road,26.1158,91.7086
Kohima District NagalandDistrict Nagaland,Kohima,2012,1,Road accident,Commercial hub,Curve,Human Error,No,Moderate,Head-on,Traffic lights,Rural road,Service road,Asphalt,Wet,Under construction,Rainy,Triple lane,Partially visible,Congested,Absent,National Highway 27,25.6751,94.1086
Kamrup Metropolitan Distric Assam,Guwahati,2007,3,Road accident,Commercial hub,Tunnel,Human Error,No,Critical,Head-on,Yield sign,Straight,Secondary road,Gravel,Wet,Fair,Clear,Double lane,Clearly visible,Clear view,Present,National Highway 27,26.1158,91.7086
Kamrup Metropolitan Distric Assam,Guwahati,2005,4,Road accident,Near school,Tunnel,Human Error,Yes,Moderate,Head-on,No control,Curve,Service road,Cobblestone,Slippery,Good,Foggy,Double lane,Partially visible,Well-lit,Under construction,State Highway 1,26.1158,91.7086
Kohima District NagalandDistrict Nagaland,Kohima,2014,3,Road accident,Commercial hub,Intersection,Human Error,No,Critical,Rollover,Stop sign,Rural road,Highway,Gravel,Muddy,Good,Rainy,Multiple lanes,Clearly visible,Well-lit,Present,State Highway 1,25.6751,94.1086
Kohima District NagalandDistrict Nagaland,Kohima,2008,3,Road accident,Highway intersection,Curve,Human Error,Yes,High,Side-impact,Yield sign,Urban road,Highway,Concrete,Wet,Under construction,Rainy,Single lane,Not visible,Well-lit,Present,Ring Road,25.6751,94.1086
Aizawl Mizoram,Aizawl,2012,2,Road accident,Commercial hub,Bridge,Human Error,Yes,Low,Side-impact,No control,Urban road,Main road,Gravel,Dry,Under construction,Rainy,Double lane,Newly painted,Congested,Damaged,MG Road,23.7307,92.7173
Gangtok District Sikim District Sikim,Gangtok District Sikim,2021,1,Road accident,Residential street,Bridge,Human Error,Yes,High,Side-impact,No control,Rural road,Secondary road,Cobblestone,Wet,Fair,Windy,Double lane,Clearly visible,Poorly lit,Present,Ring Road,27.3314,88.6138
Kamrup Metropolitan Distric Assam,Guwahati,2006,1,Road accident,Commercial hub,Intersection,Human Error,Yes,Moderate,Rear-end,Yield sign,Rural road,Local road,Gravel,Slippery,Fair,Windy,Triple lane,Not visible,Well-lit,Present,National Highway 27,26.1158,91.7086
Kamrup Metropolitan Distric Assam,Guwahati,2010,4,Road accident,Highway intersection,Straight road,Human Error,No,Low,Rear-end,Yield sign,Curve,Service road,Gravel,Wet,Poor,Rainy,Divided,Faded,Poorly lit,Absent,Park Street,26.1158,91.7086
Kohima District NagalandDistrict Nagaland,Kohima,2001,2,Road accident,Near school,Intersection,Human Error,Yes,Low,Side-impact,No control,Flat,Service road,Dirt,Muddy,Potholes present,Foggy,Double lane,Faded,Clear view,Under construction,Ring Road,25.6751,94.1086
East Khasi Hills Meghalaya,Shillong,2019,1,Road accident,Near school,Intersection,Human Error,Yes,Low,Rear-end,No control,Hilly,Highway,Dirt,Wet,Potholes present,Rainy,Double lane,Clearly visible,Poorly lit,Well-maintained,Ring Road,91.8933,91.8933
Imphal East Manipur,Imphal,2009,3,Road accident,Market area,Bridge,Human Error,No,Critical,Side-impact,Traffic lights,Rural road,Highway,Cobblestone,Slippery,Potholes present,Rainy,Triple lane,Partially visible,Congested,Damaged,MG Road,24.8108,93.9386
